Sun Nov  6 00:14:14 CST 2016
    receivedPkts:  4235
 receivedUniquePkts:  4180
   avgTput[kbps]:  57.3012
    avgDelay[ms]:  155.05
 max ACKed Seqno:  2413
       ACKs sent:  4237
   ACKs received:  4206
   avgPathLength:  24
       dropCount:  585
       totalSent:  9030
        dropRate:  0.0647841

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4353
  rt_request_cnt:  8415
    receivedPkts:  3822
 receivedUniquePkts:  3775
   avgTput[kbps]:  51.7509
    avgDelay[ms]:  151.847
 max ACKed Seqno:  1996
       ACKs sent:  3824
   ACKs received:  3804
   avgPathLength:  24
       dropCount:  549
       totalSent:  8179
        dropRate:  0.0671231

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4353
  rt_request_cnt:  8415
    receivedPkts:  3822
 receivedUniquePkts:  3775
   avgTput[kbps]:  51.7509
    avgDelay[ms]:  151.847
 max ACKed Seqno:  1996
       ACKs sent:  3824
   ACKs received:  3804
   avgPathLength:  24
       dropCount:  549
       totalSent:  8179
        dropRate:  0.0671231

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  5024
  rt_request_cnt:  9769
    receivedPkts:  4458
 receivedUniquePkts:  4430
   avgTput[kbps]:  60.7464
    avgDelay[ms]:  156.7
 max ACKed Seqno:  2573
       ACKs sent:  4460
   ACKs received:  4458
   avgPathLength:  24
       dropCount:  568
       totalSent:  9486
        dropRate:  0.0598777

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4807
  rt_request_cnt:  9176
    receivedPkts:  4241
 receivedUniquePkts:  4138
   avgTput[kbps]:  56.7299
    avgDelay[ms]:  153.237
 max ACKed Seqno:  2480
       ACKs sent:  4243
   ACKs received:  4088
   avgPathLength:  24
       dropCount:  707
       totalSent:  9052
        dropRate:  0.0781043

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4940
  rt_request_cnt:  9625
    receivedPkts:  4425
 receivedUniquePkts:  4376
   avgTput[kbps]:  59.9979
    avgDelay[ms]:  164.026
 max ACKed Seqno:  2258
       ACKs sent:  4427
   ACKs received:  4404
   avgPathLength:  24
       dropCount:  537
       totalSent:  9369
        dropRate:  0.0573167

--- Hop Node Number:12 ---

       startTime:  1
        stopTime:  299
        sentPkts:  4940
  rt_request_cnt:  9625
    receivedPkts:  4425
 receivedUniquePkts:  4376
   avgTput[kbps]:  59.9979
    avgDelay[ms]:  164.026
 max ACKed Seqno:  2258
       ACKs sent:  4427
   ACKs received:  4404
   avgPathLength:  24
       dropCount:  537
       totalSent:  9369
        dropRate:  0.0573167
